title,author,categories,price,image_url
"Книга Я бачу, вас цікавить пітьма",Ілларіон Павлюк,"[""Психологічний трилер"", ""Вибір читачів"", ""Детективи"", ""Пригодницькі романи"", ""Трилери"", ""Українська література"", ""Фантастика""]",491,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/i/m/img_67890_1.jpg
Книга Кафе на краю світу,Джон П. Стрелекі,"[""Мета. Мрія"", ""Мотивація"", ""Успіх"", ""Сучасна проза"", ""Книги про натхнення"", ""Книги для натхнення"", ""Книги для розвитку креативності"", ""Практичні книги""]",171,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/i/m/img_5185.jpg
Книга 1984,Джордж Орвелл,"[""Фантастика"", ""Антиутопія"", ""Книги антиутопії для підлітків"", ""Книги жанру \""Антиутопія\"""", ""Вибір читачів""]",140,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/2/6/26_1_329.jpg
Електронна книга Тіні забутих предків,Михайло Коцюбинський,"[""Класична проза""]",1,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/c/o/cover_600_800-58.jpg
Книга Покинь якщо кохаєш,Коллін Гувер,"[""Сучасна проза"", ""Світова література"", ""Книги про кохання"", ""Книги про токсичні стосунки і насилля""]",290,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/i/m/img099_1_98.jpg
"Електронна книга Я бачу, Вас цікавить пітьма",Ілларіон Павлюк,"[""Психологічний трилер"", ""Вибір читачів""]",250,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/y/a/ya_bachu_vas_cikavytj_pitjma_cover_full.jpg
Книга Гаррі Поттер і філософський камінь,Джоан Роулінг,"[""Фентезі"", ""Література"", ""Фентезі"", ""Епічне фентезі"", ""Вибір читачів""]",950,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/6/3/630345_front.jpg
Книга Білий попіл,Ілларіон Павлюк,"[""Містичний детектив"", ""Містичний трилер"", ""Сучасна проза"", ""Сучасна проза"", ""Вибір читачів"", ""Детективи""]",250,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/i/m/img371_2_18.jpg
Книга Бог завжди подорожує інкогніто,Лоран Гунель,"[""Сучасна проза"", ""Вибір читачів""]",234,https://static.yakaboo.ua/media/cloudflare/product/webp/600x840/6/7/67_1_37.jpg
